ref,status,encoding,csv,n_rows,n_text,n_num,n_cat,text_cols,problems,viable
lazrus/headlines-5000,ok,utf-8,Headlines_5000.csv,4999,4,0,1,date|headline|time_12hr|time_24hr,,True
zsinghrahulk/recipe-reviews,ok,utf-8,Recipe Reviews and User Feedback Dataset.csv,18182,5,10,0,comment_id|recipe_name|text|user_id|user_name,,True
thedevastator/airbnb-listings-and-reviews-in-washington-dc,ok,utf-8,Airbnb Reviews.csv,56989,1,2,0,date,,True
shubhamchambhare/all-major-fields-courses-in-udemy-44k-courses,ok,utf-8,Udemy_Courses.csv,44571,3,3,1,Link|Summary|Title,,True
jaderz/synthetic-animal-charity-donations,ok,utf-8,animal_charity_donation_records.csv,10000,4,2,8,donation_date|donor_id|email|name,,True
shubham2703/recipe-review-and-user-feedback-dataset,ok,utf-8,Recipe Reviews and User Feedback Dataset.csv,18182,5,10,0,comment_id|recipe_name|text|user_id|user_name,,True
tornikeonoprishvili/tbilisi-housing-challenge-2020,ok,utf-8,housing_clean_2.csv,29204,0,11,3,,no column detected as TEXT (all fell under the cardinality thresholds),False
rakshitrk/airline-reviews,ok,utf-8,reviews.csv,308384,5,1,0,comment|company_logo|company_name|company_website|url_website,,True
yaminh/anime-ratings-and-popularity-dataset,ok,utf-8,Anime_ratings.csv,20343,4,4,0,Episode length|Genres|Release Date|Title,,True
mehvishsheikh31/ultimate-anime-dataset-ratings-and-genres,ok,utf-8,ultimate_anime_dataset.csv,3994,8,9,5,end_date|english_title|genres|romaji_title|start_date|studio,9 multimodal cols > 5,False
crawlfeeds/furniture-products-dataset-from-amazon,ok,utf-8,furniture_amazon_dataset_sample copy.csv,312,16,1,6,about_item|asin|brand|color|date_first_available|description,18 multimodal cols > 5; only 312 rows (<2000 gives unstable 5-fold means),False
promptcloud/travel-listing-from-makemytrip,"read_failed: ParserError: Error tokenizing data. C error: Expected 22 fields in line 22, saw 25
",,marketing_sample_for_makemytrip_com-travel__20190901_20190930__30k_data.csv,0,0,0,0,,,False
ahmedalghali/cleaned-version-of-condition-classification,ok,utf-8,proccessed_fr_fr.csv,210873,0,5,0,,no column detected as TEXT (all fell under the cardinality thresholds),False
kartiksaini18/recipe-review-dataset-with-feedback-and-ratings,ok,utf-8,Recipe Reviews and User Feedback Dataset.csv,18182,5,10,0,comment_id|recipe_name|text|user_id|user_name,,True
beridzeg45/watch-prices-dataset,ok,utf-8,watches (cleaned).csv,45024,1,10,12,Brand,,True
amogh7joshi/wsj-headline-classification,ok,utf-8,wsj_headlines.csv,19227,2,1,1,Date|Headline,,True
satyajeetkumarraj/recipe-reviews-dataset,ok,utf-8,Recipe Reviews and User Feedback Dataset.csv,18182,5,10,0,comment_id|recipe_name|text|user_id|user_name,,True
michaelstepanovsky/hotel-data,ok,utf-8,hotel_data.csv,12619,2,49,0,Description|Hotel Name,,True
joebeachcapital/recipe-reviews-and-user-feedback-dataset,ok,utf-8,Recipe Reviews and User Feedback Dataset.csv,18182,5,10,0,comment_id|recipe_name|text|user_id|user_name,,True
ziya07/student-learning-interaction-logs-dataset,ok,utf-8,student_learning_interaction_dataset.csv,9000,3,16,3,session_id|student_id|timestamp,,True
datawitharyan/laptops-specs-and-price-data,ok,utf-8,laptops.csv,1011,3,3,9,graphics|name|processor,only 1011 rows (<2000 gives unstable 5-fold means),False
denniszapatos/philippines-news-headlines-dataset,ok,utf-8,Philippines-News-Headlines-Dataset-for-Sentiment-Analysis.csv,65006,2,0,0,Date|Headlines,no structured column survives -> no_text state would be empty,False
kavyasreeb/google-play-store-dating-app-reviews,ok,utf-8,dating_app.csv,240000,4,2,1,at|content|reviewCreatedVersion|reviewId,,True
sergionefedov/job-postings-salary-prediction-50k-postings,ok,utf-8,job_postings.csv,50000,5,10,9,benefits|company|job_id|post_date|skills_required,,True
rudraprasadbhuyan/amazon-laptop-messy-dataset,ok,utf-8,single_amazon_laptop_messy_dataset_1-10.csv,209,6,2,13,about|mrp|price|product_details_dict|product_title|technical_details_dict,6 multimodal cols > 5; only 209 rows (<2000 gives unstable 5-fold means),False
malharkhatu/airline-passenger-reviews,ok,utf-8,Airline Passenger Reviews.csv,64017,1,0,1,customer_review,,True
zohairbaloch/global-perfume-e-commerce-analytics-dataset,ok,utf-8,Perfume_Market_Intelligence_Dataset.csv,1998,2,5,10,Brand|Product,only 1998 rows (<2000 gives unstable 5-fold means),False
manarmohamed11/multicategory-electronics-product-new-egg,ok,utf-8,Multicategory Electronics Product.csv,4347,3,0,5,Original Price|Price|Title,,True
rohiteng/apple-products-dataset-100k-rows-and-20-features,ok,utf-8,apple_products_dataset_100k.csv,100000,4,7,9,dimensions_mm|model_name|product_id|seller_id,,True
mirkoferretti/data-visualization-project-trendspotters,ok,utf-8,cleaned_dataset_with_indices_social_support (2).csv,1618,1,32,1,Country,only 1618 rows (<2000 gives unstable 5-fold means),False
hamzasafwan/airline-customer-reviews,ok,utf-8,customer_reviews.csv,3799,1,1,0,reviews,,True
laurenainsleyhaines/united-states-fruit-and-vegetable-prices,ok,utf-8,Directory.csv,82,2,0,2,title|url,only 82 rows (<2000 gives unstable 5-fold means),False
ahmed2892/finding-donors-for-charityml,ok,utf-8,CharityML.csv,45222,0,5,9,,no column detected as TEXT (all fell under the cardinality thresholds),False
halaturkialotaibi/makeup-website-in-saudi-arabia,ok,utf-8,Makeup website in Saudi Arabia.csv,10014,1,3,5,Order_Date,,True
osamaalaa2001/american-airline-reviews-trustpilot,ok,utf-8,American_reviews_trustpilot.csv,1193,1,1,0,reviews,only 1193 rows (<2000 gives unstable 5-fold means),False
znbrazi/customer-behavioral-segmentation-of-charity-group,ok,utf-8,TransactionalData.csv,1490797,1,4,1,PaymentDate,,True
manjushwarkhairkar/all-recipe-dataset,ok,utf-8,All_Recipe_Web_Scraping_Dataset.csv,13057,5,1,2,Cook Time|Description|Ingredients|Name|Total Time,6 multimodal cols > 5,False
mariahalshiekh/udemy-course-academy-teaching,ok,utf-8,udemy_dataset.csv,2999,3,8,1,course_instr|course_link|course_name,,True
sowmyaiyer/coursera-courses-and-details,ok,utf-8,Coursera_catalog.csv,891,8,2,2,course_URL|course_organization|course_skills|course_students_enrolled|course_title|course_top_instructor,9 multimodal cols > 5; only 891 rows (<2000 gives unstable 5-fold means),False
holaholap/drinks-sales-dataset,no_usable_csv,,,0,0,0,0,,,False
techsalerator/real-estate-and-airbnb-data-for-united-arab-emirates,ok,utf-8,STR_Monthly_Performance_ZIP.csv,445,0,20,3,,no column detected as TEXT (all fell under the cardinality thresholds); only 445 rows (<2000 gives unstable 5-fold means),False
rrokon/global-grocery-nutrition-dataset-2025,ok,utf-8,grocery_nutrition_ecoscore_clean.csv,5918,3,16,6,brand|packaging_materials|product_name,,True
nomanmunir/daraz-perfumes,ok,utf-8,daraz_perfumes.csv,2280,4,4,5,name|seller|sold|url,,True
reapxdev/boardgamegeek-scraper,ok,utf-8,boardgamegeek-scraper.csv,437,9,7,4,artists|categories|designers|families|mechanics|name,10 multimodal cols > 5; only 437 rows (<2000 gives unstable 5-fold means),False
colabsss/smart-tourism-service-quality-dataset,ok,utf-8,Smart_Tourism_IoT_Service_Quality_Dataset.csv,13000,2,37,6,Record_ID|Tourist_ID,,True
liamvgallagher/wegmans-grocery-inventory-with-nutrition-and-pricing,ok,utf-8,wegmans_products.csv,32759,22,11,14,brand_name|calcium_mg|calories_per_serving|categories|description|ingredients,22 multimodal cols > 5,False
srimathi24/food-recipe-rating-multiclass-classification,ok,utf-8,train.csv,13636,5,10,0,CommentID|RecipeName|Recipe_Review|UserID|UserName,,True
delemist/vinted-listings-data,ok,utf-8,vinted_items.csv,23563,4,14,4,brand|listed_at|size|title,,True
vaibhavsaran/best-buy-amazon-flipkart-laptop-data,ok,utf-8,LaptrackPhase2.csv,4196,7,9,5,Display_Resolution|Laptop_Dimensions|Laptop_Model_Name|Laptop_Model_Number|Processor_Model|Time_Of_Extraction,7 multimodal cols > 5,False
bidyutmalasaha/blockchain-based-medicine-supply-chain-management,ok,utf-8,medicine_scm_10k_simulation_transactions.csv,10000,15,13,34,batch_id|block_hash|confirm_time|customer_id|detection_time|distributor_id,15 multimodal cols > 5,False
mihaildeligrozev/the-hague-airbnb-listings,ok,utf-8,reviews.csv,48467,3,3,0,comments|date|reviewer_name,,True
denslov/images-of-single-ticket-listings,ok,utf-8,annotations_gpt_4o_mini_df.csv,520,1,3,6,section,only 520 rows (<2000 gives unstable 5-fold means),False
zara2099/cultural-heritage-tourism-dataset,ok,utf-8,Cultural_Heritage_Tourism_Dataset.csv,7000,3,82,12,heritage_site_id|observation_date|record_id,,True
colabsss/tourism-cultural-heritage-sustainability-data,ok,utf-8,tourism_cultural_heritage_dataset.csv,15000,0,41,7,,no column detected as TEXT (all fell under the cardinality thresholds),False
techsalerator/foot-traffic-and-mobility-data-for-france,ok,utf-8,STR_Monthly_Performance_ZIP.csv,445,0,20,3,,no column detected as TEXT (all fell under the cardinality thresholds); only 445 rows (<2000 gives unstable 5-fold means),False
